id,Paper,Name,Alloy,Nb of phase,Phase,Experimental or theoretical,Experimental details,Theoretical details,Special conditions,Type of solution
0,10.1016-j.jmrt.2024.11.250.txt,10.1016-j.jmrt.2024.11.250.txt,Al2Co24.5Fe24.5Nb24.5Ni24.5,2,FCC + HCP,experimental,"Method: vacuum arc melting, Atmosphere: vacuum, Remelting cycles: 5, Purity of raw materials: 99.9 wt%",N/A,As-cast state before oxidation; fully eutectic microstructure; no partial ordering observed,Mixed Solution
0,10.1016-j.jmrt.2024.11.250.txt,10.1016-j.jmrt.2024.11.250.txt,Al2Co21.5Cr3Fe21.5Nb21.5Ni21.5Ta3,2,FCC + HCP,experimental,"Method: vacuum arc melting, Atmosphere: vacuum, Remelting cycles: 5, Purity of raw materials: 99.9 wt%",N/A,As-cast state before oxidation; original fully eutectic structure broken; no partial ordering observed,Mixed Solution
0,10.1016-j.jmrt.2024.11.250.txt,10.1016-j.jmrt.2024.11.250.txt,Al2Co19.5Cr5Fe19.5Nb19.5Ni19.5Ta5,2,FCC + HCP,experimental,"Method: vacuum arc melting, Atmosphere: vacuum, Remelting cycles: 5, Purity of raw materials: 99.9 wt%",N/A,As-cast state before oxidation; most extensively characterized alloy (TEM analysis); no partial ordering observed,Mixed Solution
0,10.1016-j.jmrt.2024.11.250.txt,10.1016-j.jmrt.2024.11.250.txt,Al2Co17.5Cr7Fe17.5Nb17.5Ni17.5Ta7,2,FCC + HCP,experimental,"Method: vacuum arc melting, Atmosphere: vacuum, Remelting cycles: 5, Purity of raw materials: 99.9 wt%",N/A,As-cast state before oxidation; highest Laves phase fraction; heavily refined eutectic lamellae; no partial ordering observed,Mixed Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,IrPdPtRhRu,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process (modified FASP), Flame type: Inverted diffusion flame (O2 center, H2/N2 annular), Gas flow rates: H2: 15 L/min, N2: 6 L/min, O2: 3.5 L/min, Reactor temperature: ~720°C, Precursor: Aqueous RuCl3, RhCl3, PdCl2, IrCl3, PtCl4 (5 mM total metal), Metal loading: 40 wt.% (2.46 nm) or 80 wt.% (3.80 nm) on carbon, Quench: 100 L/min cold N2, Drying: 100°C in air overnight",N/A,None,Single Solid Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,AuIrOsPdPt,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process, Precursors: PdCl2, OsCl3·3H2O, IrCl3·3H2O, PtCl4, AuCl3, Supports: Fe-N-C (40 wt.%) or in-situ mesoporous silica (15 wt.%), Reactor temperature: ~720°C, Quench: 100 L/min cold N2, Drying: 100°C in air overnight",N/A,None,Single Solid Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,IrPdPtRhRuW,3,FCC + WO3 (possible) + Single atoms and amorphous nanoclusters,experimental,"Method: Non-equilibrium reducing flame aerosol process, Precursors: RuCl3, RhCl3, PdCl2, IrCl3, PtCl4, (NH4)6H2W12O40·H2O, Support: Carbon (40 wt.%), Reactor temperature: ~720°C, Quench: 100 L/min cold N2, Post treatment: None (as-synthesized)",N/A,W is immiscible; causes lattice distortion and formation of dispersed species; sample used as-synthesized,Mixed Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,CeIrPdPtRhRu,2,FCC + CeO2 (before post-treatment),experimental,"Method: Non-equilibrium reducing flame aerosol process + H2 post-treatment, Flame synthesis: Ce(NO3)3·6H2O added to Ru/Rh/Pd/Ir/Pt chlorides; ~720°C; 40 wt.% on carbon, Post treatment: H2 atmosphere, 900°C, 6 hours, Quench: 100 L/min cold N2",N/A,Required H2 post-treatment at 900°C for 6h to reduce CeO2; some sintering observed (particle size increased to 6.94 nm),Mixed Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,IrPdPtRhRuZr,2,FCC + ZrO2,experimental,"Method: Non-equilibrium reducing flame aerosol process + H2 post-treatment, Flame synthesis: ZrCl4 added to Ru/Rh/Pd/Ir/Pt chlorides; ~720°C; carbon support, Post treatment: H2 atmosphere, 800-1000°C (typical), Quench: 100 L/min cold N2",N/A,ZrO2 impurity remains even after H2 post-treatment due to extremely negative redox potential,Mixed Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,IrOsPdPtRu,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process, Precursors: RuCl3, PdCl2, OsCl3·3H2O, IrCl3·3H2O, PtCl4, Support: Graphene (40 wt.%), Reactor temperature: ~720°C, Quench: 100 L/min cold N2, Drying: 100°C in air overnight",N/A,Used as HOR electrocatalyst; demonstrated high activity and stability (91% exchange current density retention after 10000 cycles),Single Solid Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,CoCuFeIrNiPdPtRhRuW,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process, Precursors: RuCl3, RhCl3, PdCl2, IrCl3, PtCl4, FeCl2·4H2O, CoCl2·6H2O, NiCl2, CuCl2·2H2O, (NH4)6H2W12O40·H2O, Support: Carbon (40 wt.%), Reactor temperature: ~720°C, Quench: 100 L/min cold N2, Drying: 100°C in air overnight",N/A,Demonstrates entropy-induced reduction mechanism; no intermetallic formation despite high-temperature synthesis,Single Solid Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,PtW,2,FCC + Single atoms and nanoclusters,experimental,"Method: Non-equilibrium reducing flame aerosol process, Precursors: PtCl4, (NH4)6H2W12O40·H2O, Support: Carbon, Reactor temperature: ~720°C, Quench: 100 L/min cold N2",N/A,Binary control demonstrating immiscible W disrupts alloy lattice and promotes dispersed species; not a true HEA (only 2 elements),Mixed Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,GaIrPdPtRhRu,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process, Precursors: RuCl3, RhCl3, PdCl2, IrCl3, PtCl4, Ga(NO3)3·H2O, Support: Carbon, Reactor temperature: ~720°C, Quench: 100 L/min cold N2, Reference: Supplementary Fig. 45",N/A,"Ga is low-melting-point immiscible element; non-equilibrium method suppresses diffusion, preventing the large particle formation (20-100 nm) seen in equilibrium liquid Ga methods",Single Solid Solution
